Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.758s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
81.00	3.74	3.59	0.00	0.00	0.08	0.00	1.69	0.00	0.66	0.91	0.83	2.42	0.00	0.00	0.00	0.00	0.48	0.82	1.73	0.39
82.00	3.75	3.60	0.00	0.00	0.33	0.00	0.82	0.01	0.00	0.00	0.00	0.00	0.08	0.00	3.06	0.65	0.00	0.00	0.92	0.90
83.00	3.75	3.60	0.00	0.00	0.43	0.00	0.00	0.17	0.00	0.00	0.00	3.03	0.00	0.81	2.10	0.81	0.17	0.42	0.00	0.06
84.00	3.74	3.60	0.00	0.00	0.15	2.20	0.00	0.29	0.00	0.75	0.03	1.96	0.00	0.00	2.04	0.00	0.23	0.00	1.21	0.00
85.00	3.75	3.59	0.00	0.00	0.75	0.00	0.00	0.42	0.18	2.85	0.00	0.00	2.28	0.51	1.62	0.00	0.44	0.00	0.29	0.45
86.00	3.75	3.60	0.00	0.00	0.00	0.00	0.27	0.00	1.56	0.00	2.71	1.18	0.81	0.00	0.00	0.00	1.03	0.00	0.00	0.00
87.00	3.75	3.60	0.00	0.00	0.00	0.00	0.01	0.00	0.00	3.19	0.21	2.22	0.00	0.76	0.03	0.00	0.00	0.00	0.00	0.00
88.00	3.74	3.60	0.00	0.00	2.84	0.00	0.51	0.58	0.13	2.57	0.00	0.64	0.27	0.06	1.29	0.00	1.52	0.00	1.72	0.00
89.00	3.75	3.60	0.00	0.00	2.31	0.00	0.00	1.68	0.40	1.73	0.67	0.00	0.12	0.67	0.48	1.72	0.00	0.00	0.00	0.70
90.00	3.75	3.59	0.00	0.00	0.00	0.00	0.00	2.18	0.00	1.22	0.04	0.00	0.30	0.68	0.89	0.00	0.00	0.98	2.55	0.01
91.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	1.66	0.00	2.20	2.17	0.00	1.03	0.20	0.37	2.11
92.00	3.75	3.60	0.00	0.00	0.00	0.00	0.73	1.18	0.00	0.25	0.00	0.00	0.26	0.00	2.10	0.00	0.00	0.00	0.94	0.44
93.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.42	2.93	0.00	0.30	2.20	2.00	0.00	1.52	1.29	0.33	0.31
94.00	3.75	3.59	0.00	0.00	0.99	0.00	3.17	0.01	0.00	0.60	2.19	0.00	0.00	0.00	2.01	0.00	0.24	1.55	0.00	0.04
95.00	3.74	3.60	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.78	0.00	1.88	0.00	1.66	1.58	2.63	0.00
96.00	3.75	3.60	0.00	0.00	0.00	0.00	1.97	0.42	0.00	0.43	0.00	0.00	0.00	0.15	0.21	0.00	0.03	0.39	1.73	0.47
97.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.35	0.13	1.46	0.00	0.00	0.00	0.50	0.46
98.00	3.75	3.60	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	1.04	0.00	0.00	2.52	0.00	2.04	0.04
99.00	3.74	3.59	0.00	0.00	0.53	0.00	0.00	0.07	0.00	0.00	0.25	0.00	1.78	0.00	0.03	0.00	0.96	1.91	1.71	0.00
100.00	3.75	3.60	0.00	0.00	0.27	0.00	2.05	0.02	0.00	0.00	0.20	0.00	2.49	0.00	0.74	0.00	0.00	1.75	1.89	0.08
101.00	3.75	3.60	0.00	0.00	3.75	0.00	0.65	0.00	0.00	0.00	0.00	0.00	1.69	0.15	1.08	0.00	1.03	0.00	1.78	0.40
102.00	3.74	3.60	0.09	0.00	0.52	0.00	0.28	0.00	0.00	3.05	0.78	0.00	0.04	0.47	0.00	0.00	0.00	0.47	1.74	1.22
103.00	3.75	3.59	0.00	0.00	3.49	0.00	0.00	0.00	0.00	0.13	0.55	0.00	0.08	0.00	3.14	0.00	0.28	0.94	1.88	0.00
104.00	3.75	3.60	0.19	0.00	2.02	0.00	0.00	0.43	0.99	0.69	0.00	0.00	0.13	0.00	1.07	0.01	0.22	0.00	1.15	0.16
105.00	3.75	3.60	1.14	0.00	0.00	0.00	0.00	0.00	1.79	0.00	0.00	0.00	1.84	0.00	0.00	0.09	0.00	0.25	0.15	1.08
106.00	3.74	3.60	0.21	0.00	0.00	0.00	1.96	0.60	0.44	1.86	0.00	1.40	0.17	0.01	0.50	0.14	0.00	0.20	0.22	0.28
107.00	3.75	3.59	0.00	0.00	3.05	0.00	0.90	0.86	0.18	0.32	0.33	2.05	1.39	0.00	0.00	0.57	0.00	0.07	0.32	0.00
108.00	3.75	3.60	0.00	0.00	3.02	0.00	0.11	0.00	0.00	3.43	1.05	0.38	0.04	0.00	0.00	0.04	0.00	0.18	1.09	1.68
109.00	3.75	3.60	0.72	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	2.31	0.30	0.00	1.53	0.75	0.20
110.00	3.74	3.60	0.00	0.00	1.01	0.00	0.00	0.00	3.19	0.71	0.00	0.00	3.24	0.00	0.10	0.21	0.00	1.81	0.00	0.08
111.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.78	0.00	0.00	2.29	0.00	0.11	0.00	0.00	1.71	2.14	2.37
112.00	3.75	3.59	1.01	0.00	0.02	0.00	0.00	0.00	0.48	0.51	0.30	0.00	0.00	0.00	1.63	0.13	1.98	1.88	0.23	0.09
113.00	3.74	3.60	0.13	0.00	3.52	0.00	0.00	0.00	0.25	0.24	0.24	0.00	2.10	0.84	0.13	0.54	0.86	1.81	1.64	2.12
114.00	3.75	3.60	0.00	0.00	3.15	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.06	0.07	0.23	0.00	0.06	1.71	1.55	0.00
115.00	3.75	3.60	0.00	0.00	3.15	0.00	0.00	0.00	0.00	0.67	0.21	1.46	1.01	0.49	0.00	0.00	0.82	0.00	0.72	2.21
116.00	3.75	3.59	0.85	0.04	0.75	0.54	0.00	0.00	0.00	1.25	1.58	0.48	0.00	0.42	2.53	1.17	0.00	0.07	0.00	1.66
117.00	3.74	3.60	0.00	0.00	0.55	0.00	0.00	0.00	0.24	0.00	0.21	1.81	0.00	0.69	1.64	1.37	0.87	0.00	0.57	1.64
118.00	3.75	3.60	0.42	0.00	0.92	0.00	0.00	0.00	0.36	3.36	0.00	0.70	1.62	0.35	0.43	0.00	0.56	0.31	1.02	1.66
119.00	3.75	3.60	0.62	0.00	0.09	0.15	0.00	0.00	0.38	2.56	0.22	0.00	2.41	0.00	1.04	0.00	0.05	0.27	0.06	1.64
10.1.1.1	4.12	73.91
10.1.1.2	3.96	26.43
10.1.1.3	0.14	1463.87
10.1.1.4	0.00	40492.25
10.1.1.5	0.84	654.22
10.1.1.6	0.16	1445.20
10.1.1.7	0.28	1789.59
10.1.1.8	0.25	1224.51
10.1.1.9	0.32	1327.71
10.1.1.10	0.99	955.61
10.1.1.11	0.67	774.07
10.1.1.12	0.74	698.63
10.1.1.13	0.73	940.79
10.1.1.14	0.30	1058.65
10.1.1.15	0.78	1029.15
10.1.1.16	0.37	1384.94
10.1.1.17	0.49	701.28
10.1.1.18	0.83	986.89
10.1.1.19	1.23	1187.57
10.1.1.20	0.81	808.72
