Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.420s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
155.00	2.00	1.99	0.00	0.00	1.99	0.00	2.00	0.00
156.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
157.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
158.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
159.00	2.00	1.99	0.00	0.00	2.00	0.00	1.99	0.00
160.00	2.00	1.99	0.00	0.00	2.00	0.00	2.00	0.00
161.00	1.99	2.00	0.00	0.00	1.99	0.00	2.00	0.00
162.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
163.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
164.00	1.99	2.00	0.00	0.00	2.00	0.00	1.99	0.00
165.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
166.00	2.00	1.99	0.00	0.00	2.00	0.00	2.00	0.00
167.00	1.99	1.99	0.00	0.00	1.99	0.00	2.00	0.00
168.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
169.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
170.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
171.00	2.00	2.00	0.00	0.00	2.00	0.00	1.99	0.00
172.00	2.00	1.99	0.00	0.00	2.00	0.00	2.00	0.00
173.00	1.99	1.99	0.00	0.00	1.99	0.00	2.00	0.00
174.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
175.00	2.00	2.00	0.60	0.55	2.00	1.38	2.00	0.84
176.00	1.99	2.00	2.00	1.95	2.00	2.00	1.98	1.97
177.00	2.00	1.99	2.00	0.47	2.00	0.46	0.47	0.47
178.00	2.00	2.00	2.00	0.00	2.00	0.00	0.00	0.00
179.00	1.98	2.00	2.00	0.00	1.99	0.00	0.00	0.00
10.1.1.1	2.02	1253.20
10.1.1.2	2.01	3224.35
10.1.1.3	1.01	8049.71
10.1.1.4	0.86	12097.09
10.2.1.2	2.04	7.88
10.1.1.6	1.09	6109.90
10.1.1.7	1.85	6453.76
10.1.1.8	0.81	14879.16
