% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1881	2	0	1	0	28	2292	0	1	1	0
1882	2	0	1	0	28	2292	0	1	1	0
1883	2	0	1	0	28	2292	0	1	1	0
1884	2	0	1	0	28	2292	0	1	1	0
1885	2	0	1	0	28	2292	0	1	1	0
1886	2	0	1	0	28	2292	0	1	1	0
1887	2	0	1	0	28	2292	0	1	1	0
1888	2	0	1	0	28	2292	0	1	1	0
1889	2	0	1	0	28	2292	0	1	1	0
1890	2	0	1	0	28	2292	0	1	1	0
1891	2	0	1	0	28	2292	0	1	1	0
1892	2	0	1	0	28	2292	0	1	1	0
1893	2	0	1	0	28	2292	0	1	1	0
1894	2	0	1	0	28	2292	0	1	1	0
1895	2	0	1	0	28	2292	0	1	1	0
1896	2	0	1	0	28	2292	0	1	1	0
1897	2	0	1	0	28	2292	0	1	1	0
1898	2	0	1	0	28	2292	0	1	1	0
1899	2	0	1	0	28	2292	0	1	1	0
1900	2	0	1	0	28	2292	0	1	1	0
1901	2	0	1	0	28	2292	0	1	1	0
1902	2	0	1	0	28	2292	0	1	1	0
1903	2	0	1	0	28	2292	0	1	1	0
1904	2	0	1	0	28	2292	0	1	1	0
1905	2	0	1	0	28	2292	0	1	1	0
1906	2	0	1	0	28	2292	0	1	1	0
1907	2	0	1	0	28	2292	0	1	1	0
1908	2	0	1	0	28	2292	0	1	1	0
1909	2	0	1	0	28	2292	0	1	1	0
1910	2	0	1	0	28	2292	0	1	1	0
1911	2	0	1	0	28	2292	0	1	1	0
1912	2	0	1	0	28	2292	0	1	1	0
1913	2	0	1	0	28	2292	0	1	1	0
1914	2	0	1	0	28	2292	0	1	1	0
1915	2	0	1	0	28	2292	0	1	1	0
1916	2	0	1	0	28	2292	0	1	1	0
1917	2	0	1	0	28	2292	0	1	1	0
1918	2	0	1	0	28	2292	0	1	1	0
1919	2	0	1	0	28	2292	0	1	1	0
1920	2	0	1	0	28	2292	0	1	1	0
1921	2	0	1	0	28	2292	0	1	1	0
1922	2	0	1	0	28	2292	0	1	1	0
1923	2	0	1	0	28	2292	0	1	1	0
1924	2	0	1	0	28	2292	0	1	1	0
1925	2	0	1	0	28	2292	0	1	1	0
1926	2	0	1	0	28	2292	0	1	1	0
1927	2	0	1	0	28	2292	0	1	1	0
1928	2	0	1	0	28	2292	0	1	1	0
1929	2	0	1	0	28	2292	0	1	1	0
1930	2	0	1	0	28	2292	0	1	1	0
1931	2	0	1	0	28	2292	0	1	1	0
1932	2	0	1	0	28	2292	0	1	1	0
1933	2	0	1	0	28	2292	0	1	1	0
1934	2	0	1	0	28	2292	0	1	1	0
1935	2	0	1	0	28	2292	0	1	1	0
1936	2	0	1	0	28	2292	0	1	1	0
1937	2	0	1	0	28	2292	0	1	1	0
1938	2	0	1	0	28	2292	0	1	1	0
1939	2	0	1	0	28	2292	0	1	1	0
1940	2	0	1	0	28	2292	0	1	1	0
1941	2	0	1	0	28	2292	0	1	1	0
1942	2	0	1	0	28	2292	0	1	1	0
1943	2	0	1	0	28	2292	0	1	1	0
