Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.104s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
94.00	7.20	6.59	0.00	0.00	3.67	0.71	0.00	1.83	0.49	0.05	0.00	4.45	0.14	0.00	1.07	0.12	0.00	0.00	0.00	2.27	0.00	0.49	0.32
95.00	7.20	6.61	0.00	0.00	0.49	1.22	0.00	1.52	2.24	0.00	0.00	0.00	0.00	0.00	1.41	0.00	0.00	0.00	1.25	0.00	0.00	0.09	0.00
96.00	7.21	6.59	0.00	0.00	0.00	0.00	0.00	0.00	1.35	1.02	0.07	2.40	0.53	0.00	0.12	0.00	0.00	0.00	1.50	0.99	0.00	2.13	0.00
97.00	7.20	6.61	0.00	0.00	1.35	2.90	0.00	0.49	1.48	2.05	0.00	4.00	2.81	1.17	1.15	0.00	0.69	0.00	0.00	1.97	1.48	1.00	0.22
98.00	7.21	6.59	0.00	0.00	2.64	2.94	0.00	0.00	1.48	1.59	0.51	2.91	0.46	0.00	2.79	0.00	0.01	0.00	0.73	0.48	0.05	0.49	0.00
99.00	7.20	6.61	0.00	0.00	1.40	1.41	0.00	0.00	1.47	1.30	0.01	1.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.49	0.00
100.00	7.20	6.59	0.00	0.00	0.99	0.00	0.00	0.00	0.49	0.00	2.28	3.77	0.08	0.00	0.00	0.00	0.00	0.00	0.59	0.00	0.89	0.00	0.00
101.00	7.21	6.61	0.00	0.00	0.00	0.49	0.00	2.00	0.49	0.57	0.71	3.30	0.00	0.00	0.09	0.00	0.00	0.00	0.29	0.88	0.57	0.49	0.60
102.00	7.20	6.59	0.00	0.00	4.16	4.13	0.00	0.00	1.38	2.12	1.80	0.99	4.04	0.00	2.54	0.31	0.57	0.00	1.31	1.54	0.00	2.04	0.98
103.00	7.21	6.61	0.00	0.00	0.88	1.61	0.00	0.84	0.47	0.11	2.40	1.38	0.05	0.00	0.58	0.00	0.00	0.00	1.00	0.06	0.00	0.21	0.02
104.00	7.20	6.59	0.00	0.00	1.65	2.77	0.00	1.37	0.41	0.40	0.31	0.99	0.37	0.00	1.22	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00
105.00	7.20	6.61	0.00	0.00	4.11	3.11	0.00	0.02	1.19	0.00	2.30	1.39	0.08	0.00	1.73	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00
106.00	7.21	6.59	0.00	0.00	0.99	1.48	0.00	3.14	1.46	0.16	1.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.79	0.00
107.00	7.20	6.59	0.00	0.00	1.98	0.58	0.00	1.98	2.00	0.00	0.00	2.96	0.00	0.58	0.49	0.00	0.00	0.00	1.07	0.00	0.00	1.18	0.00
108.00	7.21	6.61	1.80	0.00	0.72	1.93	0.00	1.72	0.49	0.00	1.47	1.67	0.49	0.00	0.69	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00
109.00	7.20	6.59	0.02	0.00	1.81	1.60	0.00	0.00	1.73	0.94	0.00	2.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00
110.00	7.21	6.61	0.65	0.00	2.43	1.01	0.00	0.49	2.10	1.44	1.02	3.67	1.26	0.00	1.48	0.00	0.42	0.00	0.48	1.17	0.00	1.92	0.00
111.00	7.20	6.59	1.33	0.00	0.99	1.11	0.00	1.63	2.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.00	1.68	0.00
112.00	7.20	6.61	0.00	0.00	1.38	0.19	0.00	0.00	1.27	0.01	2.61	0.99	0.00	0.00	1.32	0.00	0.00	0.00	0.82	0.00	0.00	0.08	0.00
113.00	7.21	6.59	0.05	0.00	0.00	3.25	0.00	0.49	1.73	0.78	2.12	2.17	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00	0.00	0.55	0.00
114.00	7.20	6.61	1.84	0.00	0.00	3.00	0.00	0.00	2.24	1.98	1.40	0.37	0.00	0.00	1.54	0.00	0.00	0.00	0.00	0.00	0.00	2.04	0.00
115.00	7.21	6.59	1.66	0.00	0.00	1.07	0.00	0.00	0.99	0.00	1.59	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116.00	7.20	6.61	0.09	0.00	2.54	2.39	0.00	1.37	1.17	0.05	1.58	0.00	0.00	0.00	0.74	0.00	0.00	0.00	1.21	2.20	0.00	1.60	0.49
117.00	7.20	6.59	0.00	0.00	2.68	4.69	0.00	0.00	0.00	0.00	0.28	2.24	0.00	0.00	0.00	0.00	0.00	0.00	1.14	1.05	0.00	0.00	0.00
118.00	7.21	6.61	0.14	0.00	2.70	0.86	0.00	4.37	2.70	0.58	1.93	2.20	0.14	0.62	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.74	0.00
119.00	7.20	6.59	1.13	0.00	3.86	4.10	0.00	2.76	1.93	0.35	0.00	2.43	0.62	0.00	0.99	0.00	0.00	0.00	0.59	1.78	0.00	0.49	0.00
10.2.1.2	7.34	8.22
10.2.1.3	6.73	8.36
10.1.1.3	0.75	312975.09
10.1.1.4	44.84	60617.57
10.1.1.5	1.14	427503.91
10.1.1.6	1.36	291368.85
10.1.1.7	192.53	55996.00
10.1.1.8	0.83	512905.19
10.1.1.9	1.11	321692.20
10.1.1.10	0.51	308388.82
10.1.1.11	0.47	349256.00
10.1.1.12	1.28	366286.41
10.1.1.13	0.30	413112.83
10.1.1.14	0.05	1580548.62
10.1.1.15	0.61	416205.74
