Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.363s)
CreateVariables () DONE !!!
Creating 27 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26
58.00	0.00	0.00	0.00	1.48	1.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.46	0.00	0.00	0.34
59.00	0.00	0.00	0.00	1.18	1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.21	0.00	0.00	0.04
60.00	0.00	0.00	0.00	1.99	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81	0.00	0.00	0.00
61.00	0.00	0.00	0.00	1.92	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.75	0.00	0.00	0.39
62.00	0.00	0.00	0.00	1.97	1.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.70	0.00	0.00	0.02
63.00	0.00	0.00	0.00	1.92	2.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.71
64.00	0.00	0.00	0.00	1.06	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	0.40
65.00	0.00	0.00	0.00	0.81	1.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	0.00	0.00	0.25
66.00	0.00	0.00	0.00	0.89	1.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.00	0.00	0.21
67.00	0.00	0.00	0.00	1.59	1.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00
