Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.316s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
73.00	8.40	0.00	0.00	0.00	0.00	0.00	1.59	0.00	0.00	3.34	2.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.08
74.00	8.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	1.48	0.47	0.00	0.00	0.00	0.00	0.00	0.00	2.84
75.00	8.40	0.00	0.00	0.00	0.00	0.00	1.78	0.00	0.00	0.99	3.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09
76.00	8.40	0.00	0.00	0.00	0.00	0.00	1.75	0.00	0.00	1.90	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.04	0.33
77.00	8.40	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	2.37	1.99	0.66	0.00	0.00	0.00	0.00	0.00	0.04	2.89
78.00	8.41	0.00	0.00	0.00	0.00	0.00	2.16	0.00	0.00	0.49	2.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.85
79.00	8.40	0.00	0.00	0.00	0.00	0.00	1.84	0.00	0.00	1.33	2.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.47
80.00	8.40	0.00	0.00	0.00	0.00	0.00	1.80	0.00	0.00	2.17	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.66
81.00	8.41	0.00	0.00	0.00	0.00	0.00	2.05	0.00	0.00	2.97	2.91	0.48	0.00	0.00	0.00	0.00	0.24	0.00	1.91
82.00	8.40	0.00	0.00	0.00	0.00	0.00	1.05	0.00	0.00	1.92	2.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.50
83.00	8.40	0.00	0.00	0.00	0.00	0.00	1.28	0.00	0.00	3.17	3.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.44
84.00	8.41	0.00	0.00	0.01	0.00	0.00	1.22	0.00	0.00	2.26	3.12	0.00	0.00	0.00	0.00	0.31	0.00	0.00	3.24
85.00	8.40	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32
86.00	8.40	0.00	0.04	0.00	0.00	0.00	2.28	0.00	0.00	1.20	4.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.59
87.00	8.41	0.00	0.00	0.00	0.00	0.00	1.19	0.00	0.00	0.19	1.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.30
88.00	8.40	0.00	0.00	0.00	0.00	0.00	0.80	0.00	0.00	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.07
89.00	8.40	0.00	0.00	0.00	0.00	0.00	2.67	0.00	0.00	0.99	1.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73
90.00	8.41	0.00	0.00	1.18	0.00	0.00	0.00	0.00	0.00	0.78	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	2.12
91.00	8.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	2.20	0.15	0.00	0.00	0.00	0.00	0.14	0.00	1.14
92.00	8.40	0.00	0.00	0.66	0.00	0.00	3.73	0.00	0.00	1.85	1.67	0.28	0.00	0.00	0.00	0.00	0.00	0.16	0.00
93.00	8.41	0.00	0.00	0.66	0.00	0.00	1.22	0.00	0.00	2.33	2.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.29
94.00	8.40	0.00	0.00	0.62	0.00	0.00	1.54	0.00	0.00	2.20	2.71	0.82	0.00	0.00	0.00	0.00	0.00	0.00	2.64
95.00	8.40	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.38
96.00	8.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.54	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.78
97.00	8.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.25	0.00
98.00	8.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	1.18	0.06	0.00	0.00	0.00	0.00	0.34	0.00	0.00
99.00	8.40	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	1.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100.00	8.41	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
101.00	8.40	0.00	0.00	0.01	0.00	0.00	0.77	0.00	0.00	0.78	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
102.00	8.40	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01
