Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.444s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
70.00	7.20	6.59	3.03	0.99	3.82	3.18	0.00	4.19	5.02	4.22	0.00	5.10	0.00	4.42	3.00	3.57	3.31	3.25	3.60	0.00	0.00	2.17	0.00
71.00	7.20	6.61	3.47	0.49	6.08	0.49	0.00	0.00	5.10	2.73	0.00	3.67	0.00	4.51	0.54	2.64	0.98	0.00	3.60	1.81	0.00	2.40	0.00
72.00	7.21	6.59	3.76	3.60	5.03	3.78	0.00	1.58	4.17	4.24	0.00	5.08	0.00	2.94	3.42	3.32	0.45	0.75	1.02	0.48	0.00	1.90	0.00
73.00	7.20	6.61	3.34	0.49	3.51	0.54	0.00	5.70	5.10	0.44	0.00	5.10	0.00	4.19	1.79	3.93	1.39	2.10	0.00	1.17	0.00	1.93	0.00
74.00	7.21	6.59	5.57	2.81	2.19	1.74	0.00	0.02	4.25	2.17	0.00	5.10	0.00	1.86	1.70	4.18	1.91	0.99	1.81	0.00	0.53	2.40	0.00
75.00	7.20	6.61	1.61	0.52	5.63	4.02	0.00	2.57	3.45	4.04	0.00	1.68	0.00	0.40	2.59	1.07	3.40	0.49	0.49	0.66	0.21	0.97	0.00
76.00	7.20	6.59	5.36	0.49	5.13	5.71	0.00	0.00	5.11	2.05	0.00	6.12	0.00	3.45	4.17	0.14	3.90	0.00	0.99	0.00	0.00	0.07	0.00
77.00	7.21	6.61	1.24	3.73	4.77	4.45	0.00	4.90	3.53	0.00	0.00	0.47	0.00	4.05	3.26	1.41	2.99	1.74	1.19	0.00	0.00	2.17	0.00
78.00	7.20	6.59	0.16	0.99	6.30	5.70	0.00	3.99	5.10	4.60	0.00	0.00	0.00	4.49	0.31	4.20	3.87	2.44	2.14	0.28	0.00	2.39	0.00
79.00	7.21	6.61	2.57	0.49	1.77	5.55	0.00	1.98	3.97	2.71	0.00	0.00	0.00	3.98	3.77	2.85	2.93	0.72	3.54	2.04	0.00	1.95	0.00
80.00	7.20	6.59	0.00	0.00	4.77	5.58	0.00	2.91	2.07	2.98	0.00	3.69	0.00	3.92	2.16	3.10	3.40	2.16	1.80	0.22	0.00	1.54	0.00
