Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.410s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
97.00	7.20	6.30	5.72	4.95	0.08	4.65	2.65	0.00	0.34	0.00	3.59	0.00	0.01	0.00	3.49	3.76	0.00	2.51	0.12	3.97	0.00	3.00	0.00	2.36	0.00
98.00	7.21	6.30	1.35	4.45	0.00	2.19	2.68	0.00	5.10	0.00	3.50	1.86	0.00	0.00	0.78	1.25	0.00	1.46	0.00	0.00	0.00	3.01	0.00	2.51	0.00
99.00	7.20	6.30	3.70	2.94	0.00	4.98	0.32	2.50	4.73	0.00	4.65	3.63	2.47	0.00	0.68	2.32	0.00	1.41	0.00	3.16	0.00	2.99	1.93	2.53	0.00
100.00	7.20	6.30	5.99	5.70	0.00	5.10	1.52	0.60	5.11	0.00	3.93	0.00	2.05	0.00	2.26	0.82	0.00	0.93	0.00	2.84	0.00	3.00	0.34	2.12	0.00
101.00	7.21	6.30	3.54	1.12	2.84	1.44	1.39	2.27	4.31	0.00	2.93	0.00	4.13	0.00	1.45	3.23	0.00	1.06	0.00	0.89	0.00	3.00	0.49	2.51	0.00
102.00	7.20	6.30	3.27	2.77	4.19	3.59	1.40	0.00	5.09	0.00	1.78	0.00	4.32	0.00	3.33	1.13	0.00	0.66	0.00	2.74	0.00	2.13	0.00	1.70	0.00
103.00	7.21	6.30	1.26	2.96	0.00	1.63	4.82	0.00	5.11	0.00	4.82	0.00	3.53	0.00	3.53	2.86	0.00	0.00	0.00	3.44	0.00	0.49	0.00	2.44	0.00
104.00	7.20	6.30	2.32	0.22	0.00	1.37	4.73	0.00	5.10	0.00	3.91	4.27	0.71	2.01	3.49	3.39	0.00	0.61	0.00	1.37	0.00	0.00	0.99	2.63	0.00
105.00	7.20	6.30	0.67	0.00	0.00	1.50	2.80	2.52	3.62	0.00	2.58	0.87	2.25	1.86	2.03	0.00	0.00	2.31	0.00	0.82	0.00	3.63	0.00	1.26	0.00
106.00	7.21	6.30	2.34	2.83	0.00	4.69	2.38	4.93	2.43	0.00	2.20	0.00	2.12	2.54	0.00	1.70	0.00	0.54	0.00	2.47	0.00	3.00	2.38	2.24	0.00
107.00	7.20	6.30	4.23	1.77	0.00	3.74	2.81	0.42	4.15	0.00	1.64	1.48	1.22	0.00	2.32	0.52	0.66	0.65	0.00	0.49	0.00	2.99	2.77	1.64	0.00
108.00	7.21	6.30	2.71	1.65	0.00	2.70	3.77	4.59	0.62	0.00	2.24	1.12	0.78	1.90	1.38	0.64	0.53	2.23	0.00	3.45	0.00	3.00	0.00	0.93	0.00
109.00	7.20	6.30	3.11	1.64	0.00	3.59	1.70	5.09	4.86	0.00	0.99	1.46	2.65	4.09	0.92	0.22	0.00	0.00	0.00	3.26	0.00	3.00	0.00	0.00	0.00
110.00	7.21	6.30	3.71	2.25	0.75	1.25	2.30	0.55	4.77	0.00	3.27	1.79	2.70	0.00	0.46	3.49	1.34	1.10	0.00	0.69	3.54	3.00	0.00	0.93	0.00
111.00	7.20	6.30	3.07	1.67	0.00	1.38	4.53	5.89	5.13	0.00	2.72	0.00	4.88	0.00	0.33	4.05	0.00	0.00	0.00	2.51	0.00	2.99	1.58	2.71	0.00
112.00	7.20	6.30	0.75	4.51	0.00	1.22	0.47	4.68	5.09	0.00	0.00	2.54	4.65	0.49	0.00	3.16	0.00	0.40	0.00	2.84	0.00	2.70	2.67	2.34	0.00
