Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.558s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
106.00	6.90	6.90	6.59	3.97	0.00	6.01	0.88	0.62	4.79	1.90	4.42	4.79	4.20	3.91	0.00	3.60	0.00	0.00	2.17	2.11
107.00	6.90	6.90	6.59	4.09	1.31	5.51	3.25	0.37	4.80	0.26	3.97	4.80	4.19	3.90	0.00	3.59	0.00	0.12	2.07	1.83
108.00	6.90	6.90	6.61	3.54	0.00	5.19	1.86	0.00	1.93	3.11	2.56	1.94	1.75	3.90	0.00	3.60	0.00	1.01	2.25	1.63
109.00	6.90	6.90	6.59	5.51	0.00	5.73	2.07	0.00	0.00	0.00	2.47	0.00	0.00	3.90	2.80	3.60	0.00	3.26	2.67	1.00
110.00	6.90	6.90	6.61	4.75	0.00	5.42	0.11	0.05	0.00	0.00	4.80	0.53	0.00	3.90	3.45	3.59	0.00	3.29	2.40	0.95
111.00	6.90	6.90	6.59	5.99	0.00	6.01	5.15	0.82	0.00	0.00	4.43	5.59	0.00	3.90	3.90	3.60	0.00	0.22	2.40	0.97
112.00	6.90	6.90	6.61	6.30	0.00	5.99	5.39	0.00	0.00	2.04	4.80	4.80	0.00	3.91	3.90	3.60	0.00	0.00	2.40	1.10
113.00	6.90	6.90	6.59	3.54	0.00	2.13	5.37	3.30	0.00	4.07	2.67	0.01	3.29	3.90	1.10	3.60	0.00	1.46	1.95	0.57
114.00	6.89	6.89	6.61	3.07	0.00	1.63	5.39	4.03	0.00	4.79	4.79	0.00	0.00	3.89	1.78	3.59	0.00	0.00	0.21	2.98
115.00	6.90	6.90	6.59	2.92	0.00	5.92	4.71	3.38	0.00	4.73	4.53	0.00	0.00	3.91	3.90	3.60	0.00	0.00	1.95	2.10
116.00	6.90	6.90	6.61	5.91	0.00	5.65	0.24	1.13	0.00	4.62	4.31	0.75	0.99	3.00	0.01	3.60	0.00	0.04	2.28	1.86
117.00	6.90	6.90	6.59	6.21	0.00	6.01	0.00	2.74	0.00	4.80	4.79	0.00	0.00	3.90	0.00	3.59	0.00	0.00	2.40	2.11
118.00	6.90	6.90	6.61	6.30	0.00	5.99	0.64	4.80	0.00	4.79	4.80	0.00	0.00	3.90	0.00	3.60	0.00	0.00	2.39	2.10
119.00	6.90	6.90	6.59	5.36	0.00	3.53	3.82	0.04	1.51	4.11	4.77	4.17	0.01	0.94	2.58	0.02	0.00	0.00	2.23	0.80
10.2.1.2	7.03	8.40
10.2.1.3	7.03	21.90
10.2.1.4	6.73	8.43
10.1.1.4	3.26	79097.46
10.1.1.5	4.06	56361.43
10.1.1.6	4.07	40924.98
10.1.1.7	2.75	70717.29
10.1.1.8	1.08	268183.42
10.1.1.9	4.25	10503.13
10.1.1.10	2.79	55321.35
10.1.1.11	3.23	54549.52
10.1.1.12	3.17	39222.19
10.1.1.13	1.68	164386.64
10.1.1.14	3.25	21606.18
10.1.1.15	1.60	216556.93
10.1.1.16	3.23	29983.90
10.1.1.17	0.55	97489.63
10.1.1.18	0.45	88460.35
10.1.1.19	2.03	29475.79
10.1.1.20	1.97	16127.87
