Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.603s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
90.00	7.20	6.90	0.49	0.00	5.43	0.15	1.48	1.74	3.90	0.58	0.22	5.26	0.00	0.00	0.93	3.98	1.02	3.70	3.00	2.25	2.11	0.01	1.65
91.00	7.21	6.90	0.00	0.47	6.95	5.17	1.28	1.15	4.68	1.75	4.13	0.46	0.00	0.00	0.00	0.35	3.60	3.00	2.98	2.34	2.10	0.00	1.80
92.00	7.20	6.90	0.00	0.87	4.70	0.54	1.11	0.49	3.25	0.97	1.86	0.00	0.00	0.00	0.41	0.00	3.31	2.99	1.98	2.65	1.78	0.00	1.70
93.00	7.21	6.90	1.44	1.75	2.59	1.93	1.25	2.19	5.44	1.18	0.00	0.99	0.00	0.00	0.00	2.41	3.59	3.01	1.77	2.59	1.67	0.13	1.80
94.00	7.20	6.90	2.63	0.66	0.60	1.18	0.49	1.65	3.57	0.00	2.65	1.08	0.00	0.00	2.30	2.74	3.10	2.99	2.83	2.61	0.25	0.66	1.78
95.00	7.20	6.90	1.08	1.31	2.16	0.42	2.40	4.95	0.65	0.69	1.70	0.00	0.00	0.00	0.69	0.00	2.34	2.64	2.72	2.58	0.73	1.53	1.75
96.00	7.21	6.90	2.89	1.04	4.79	0.77	3.18	1.50	1.78	0.92	4.12	0.00	0.00	0.00	4.17	0.00	2.28	0.00	2.26	2.59	2.32	0.88	1.78
97.00	7.20	6.90	1.14	1.33	2.26	0.35	1.48	4.29	3.17	3.21	4.10	0.00	0.00	0.00	3.62	0.75	1.80	0.49	2.46	2.70	2.10	0.00	1.79
98.00	7.21	6.89	4.70	0.09	2.32	6.10	3.63	4.60	2.00	1.60	1.22	0.00	0.00	0.00	0.00	0.00	1.40	0.00	2.51	2.51	1.33	0.69	1.80
99.00	7.20	6.90	2.59	1.20	2.24	1.61	5.08	4.56	4.45	1.57	2.14	0.00	0.74	0.00	0.99	0.00	1.39	0.49	2.87	1.98	1.02	0.00	1.41
