Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.634s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
96.00	8.10	6.59	0.00	0.99	3.64	0.00	0.00	4.79	0.00	4.51	2.58	3.90	0.00	3.59	1.27	3.60	3.54	0.00	3.30	2.32	2.70
97.00	8.10	6.61	5.58	0.00	0.38	0.00	0.00	4.80	0.00	4.50	4.20	3.91	0.00	3.60	3.59	3.60	3.65	0.00	3.30	3.30	2.70
98.00	8.10	6.59	0.21	5.44	2.85	0.00	0.49	1.18	0.00	0.32	2.92	2.85	0.06	1.65	2.91	2.71	0.81	0.00	2.47	0.68	2.53
99.00	8.10	6.61	3.64	1.21	5.63	0.09	0.00	2.94	0.22	5.23	4.11	3.90	0.00	3.50	3.50	3.40	0.02	2.08	3.23	2.89	2.00
100.00	8.10	6.59	1.42	3.07	1.53	0.00	0.00	3.03	0.00	0.72	3.82	0.22	0.40	3.60	3.62	3.31	0.16	3.30	3.30	3.17	2.45
101.00	8.09	6.61	4.52	5.51	2.96	0.00	0.98	2.39	0.00	0.49	3.21	0.00	0.00	3.59	2.70	3.57	3.99	3.30	3.30	3.50	2.71
102.00	8.10	6.59	1.37	5.37	0.00	0.00	3.34	4.69	0.00	0.49	0.99	0.00	0.00	3.60	0.00	3.62	3.60	3.30	3.31	3.30	2.71
103.00	8.10	6.61	0.00	5.70	0.00	0.00	5.41	4.80	0.00	0.00	3.69	0.00	0.00	3.60	0.49	3.59	3.57	3.31	3.30	3.31	2.70
104.00	8.10	6.59	1.99	1.22	3.62	0.25	0.12	4.80	0.00	0.00	2.64	0.00	0.79	3.53	3.19	3.60	3.27	3.30	3.21	3.30	2.60
105.00	8.10	6.61	0.99	0.87	3.46	0.06	0.00	2.90	0.04	0.00	0.24	0.00	0.04	3.14	3.00	3.60	3.44	3.30	2.43	3.13	2.71
106.00	8.10	6.59	1.59	1.20	0.49	0.46	0.00	1.50	0.37	2.59	0.18	0.75	1.93	2.84	3.45	3.37	3.46	3.29	3.21	2.25	2.58
107.00	8.10	6.59	0.49	0.49	5.25	0.31	3.99	2.92	0.44	0.00	1.83	4.26	0.00	2.86	2.86	3.47	1.87	3.32	3.07	3.27	0.51
108.00	8.09	6.61	0.00	2.86	0.00	0.00	3.76	4.79	0.00	0.00	4.19	3.86	0.00	3.59	0.00	3.62	0.99	3.30	3.30	3.26	0.00
109.00	8.10	6.59	0.00	4.77	0.71	0.47	0.00	4.39	0.00	0.00	3.63	0.65	0.00	3.39	0.85	3.34	0.00	3.30	3.29	2.93	0.14
110.00	8.10	6.61	5.59	2.89	2.13	1.00	1.51	2.16	0.00	0.98	3.58	0.00	2.23	3.46	3.23	3.36	0.00	3.30	0.45	0.01	1.13
111.00	8.10	6.59	0.00	0.00	0.00	0.00	0.00	3.50	0.00	0.00	4.26	0.00	1.01	3.60	3.67	3.57	0.49	3.31	3.30	3.54	2.61
112.00	8.10	6.61	1.21	0.49	1.57	0.00	0.49	4.80	0.00	0.00	4.03	0.00	0.00	3.60	3.51	3.60	2.34	3.30	3.21	3.31	2.71
113.00	8.10	6.59	1.78	3.18	0.00	0.54	0.00	4.30	0.68	0.99	3.99	0.00	0.02	3.59	3.52	2.47	2.07	3.30	3.17	1.11	2.70
114.00	8.09	6.61	0.00	5.70	0.00	0.00	0.00	4.79	0.00	0.00	4.20	0.00	0.00	3.56	3.60	3.60	1.18	3.30	3.31	2.78	2.70
115.00	8.10	6.59	0.00	2.56	0.55	1.38	0.00	4.79	0.20	0.00	4.19	0.49	0.66	3.65	3.60	3.37	0.00	3.31	3.29	3.31	2.60
116.00	8.10	6.61	0.00	1.83	0.80	2.67	0.00	4.69	0.55	0.00	4.10	0.00	0.00	3.59	3.59	2.74	4.50	3.30	3.17	2.93	2.46
117.00	8.10	6.59	4.44	0.99	1.12	0.65	1.24	3.04	0.00	0.00	3.84	0.00	0.01	3.59	1.91	2.30	2.03	3.29	2.91	3.25	2.63
118.00	8.10	6.61	0.00	0.00	0.00	0.00	0.00	4.83	0.00	0.00	4.19	0.00	0.00	3.62	3.50	3.54	1.06	3.31	3.29	3.31	2.71
119.00	8.10	6.59	2.56	1.74	2.96	2.56	0.49	4.80	1.93	0.00	2.18	0.49	0.84	3.60	1.40	2.73	3.38	3.31	3.32	2.37	2.70
10.2.1.2	8.25	8.36
10.2.1.3	6.73	8.35
10.1.1.3	1.44	266255.51
10.1.1.4	2.19	139347.62
10.1.1.5	2.18	126979.75
10.1.1.6	0.40	503275.22
10.1.1.7	1.15	204949.85
10.1.1.8	2.93	57880.66
10.1.1.9	0.19	533303.28
10.1.1.10	1.41	165710.23
10.1.1.11	3.07	41015.72
10.1.1.12	1.95	89649.08
10.1.1.13	0.70	285728.66
10.1.1.14	3.25	11868.35
10.1.1.15	2.66	50294.65
10.1.1.16	2.90	27271.08
10.1.1.17	2.26	82192.52
10.1.1.18	3.11	10972.11
10.1.1.19	2.89	17854.61
10.1.1.20	2.35	44967.11
10.1.1.21	2.32	13709.06
