Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.388s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
112.00	7.80	1.71	3.04	0.07	0.26	5.51	1.98	3.53	2.07	2.64	5.23	3.11	0.00	1.58	0.79	2.97	0.00	1.32	0.12
113.00	7.80	3.14	0.49	3.01	0.49	4.19	1.14	5.92	0.05	1.65	5.12	4.80	0.08	3.92	2.59	0.13	0.75	1.84	0.33
114.00	7.81	0.49	6.10	1.60	1.79	1.64	1.87	5.38	2.58	0.75	3.71	4.72	0.00	3.20	0.01	1.07	0.00	0.01	1.15
115.00	7.80	1.74	3.27	2.74	0.01	1.20	1.05	3.30	1.60	4.05	4.72	2.39	0.49	0.49	0.98	0.02	0.00	1.91	0.52
116.00	7.80	3.72	4.63	0.49	0.18	1.08	0.40	2.20	3.16	3.50	4.07	3.37	2.20	4.59	2.12	2.39	0.00	2.31	1.40
117.00	7.81	6.05	0.62	1.77	0.00	1.75	1.37	5.20	5.59	4.36	3.91	3.50	0.19	1.57	1.00	1.87	0.00	1.99	1.91
118.00	7.80	6.17	5.42	4.32	0.00	2.12	1.67	5.77	3.20	0.95	2.65	4.20	0.72	4.18	0.47	0.32	0.41	1.66	1.64
119.00	7.80	4.79	2.86	3.98	0.00	2.37	0.78	2.24	2.52	2.99	0.00	4.69	0.01	2.26	0.67	0.45	0.00	0.77	0.85
10.2.1.2	7.95	8.65
10.1.1.2	2.98	105900.35
