Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.342s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
85.00	7.80	7.50	6.90	0.29	5.41	5.10	0.49	4.85	4.79	4.85	0.72	0.00	0.00	4.51	0.00	0.00	0.00	0.89	3.00	0.49	2.70	0.00
86.00	7.80	7.50	6.90	2.19	3.73	5.11	1.68	1.31	4.80	1.80	1.57	0.27	0.00	4.50	0.00	2.30	0.00	0.02	3.00	0.98	1.30	0.00
87.00	7.81	7.50	6.90	2.48	5.39	3.83	1.65	3.96	4.79	2.51	0.00	1.44	2.43	4.50	0.00	2.10	0.00	0.55	2.16	0.00	1.79	0.00
88.00	7.80	7.50	6.90	3.90	4.98	0.00	2.86	4.80	4.77	2.98	2.13	2.30	2.92	3.74	3.54	3.62	0.00	1.25	0.49	1.37	1.20	0.00
89.00	7.81	7.50	6.90	3.00	5.41	6.12	4.17	4.29	2.00	0.18	1.30	1.18	1.78	2.96	1.20	0.40	0.00	0.86	0.00	0.12	1.05	0.00
90.00	7.80	7.50	6.90	3.43	4.83	5.10	3.93	2.63	0.00	1.37	1.88	0.12	3.13	2.38	0.00	0.00	0.00	0.00	0.00	1.72	1.41	0.00
91.00	7.80	7.49	6.90	6.67	5.41	5.09	5.09	4.79	0.00	4.79	0.00	0.02	4.20	4.50	0.00	0.00	0.00	2.47	0.00	0.00	1.78	0.00
92.00	7.81	7.50	6.90	5.51	5.39	5.11	5.11	3.60	0.00	4.60	0.00	0.00	0.15	4.50	4.03	4.24	0.00	0.00	0.00	0.00	1.80	0.00
93.00	7.80	7.50	6.90	6.49	5.25	5.10	4.40	4.70	0.00	0.82	1.28	0.00	2.54	3.83	2.80	4.20	0.00	0.54	2.47	0.20	1.77	0.00
94.00	7.80	7.50	6.90	5.63	5.39	5.10	4.30	4.65	4.25	2.30	2.13	0.73	1.78	4.49	0.00	3.98	0.00	0.49	0.20	0.47	1.67	0.00
